iter	RMSE
0	0.617677166
1	0.5833500617
2	0.5498414806
3	0.5193146379
4	0.4910996591
5	0.4630447685
6	0.4384890838
7	0.4153032135
8	0.3937188129
9	0.3750068175
10	0.3574510176
11	0.3400418375
12	0.3251809442
13	0.3110680423
14	0.2998530551
15	0.2880914384
16	0.2765066117
17	0.2674404896
18	0.2580709118
19	0.2499957278
20	0.2426178676
21	0.2353919074
22	0.2295354008
23	0.2233520895
24	0.2179651096
25	0.2133667486
26	0.2088187879
27	0.2047010302
28	0.200708509
29	0.1971212238
30	0.1939614193
31	0.1909638116
32	0.1881144245
33	0.1856567
34	0.1832498821
35	0.1809739632
36	0.1789906764
37	0.1768825662
38	0.175102146
39	0.1735191893
40	0.1716978746
41	0.1703299603
42	0.1687718337
43	0.1673600455
44	0.1660474965
45	0.1648764437
46	0.1639380278
47	0.1628562881
48	0.1619084053
49	0.1608298859
50	0.159996265
51	0.159236174
52	0.1586017527
53	0.1577468362
54	0.1570386856
55	0.1563378143
56	0.1557449334
57	0.1550002294
58	0.1543730105
59	0.1538341538
60	0.1532675366
61	0.1527302279
62	0.1522047898
63	0.151760394
64	0.1514130998
65	0.1507754129
66	0.1502702037
67	0.1499031931
68	0.1493750506
69	0.1488838538
70	0.1485193671
71	0.1481718538
72	0.1478011514
73	0.1474023253
74	0.1472036185
75	0.1469828166
76	0.1467376498
77	0.1463723584
78	0.1460766587
79	0.1458006996
80	0.1455376363
81	0.1453148833
82	0.1449543148
83	0.1446554689
84	0.1443388201
85	0.1440924109
86	0.143834444
87	0.1437355452
88	0.1434813274
89	0.1432165309
90	0.1429956103
91	0.142846196
92	0.1425993015
93	0.1422884051
94	0.1421640439
95	0.1419228051
96	0.1416407535
97	0.1414020707
98	0.1411823432
99	0.1408950563
100	0.1405521024
101	0.1402908564
102	0.1402020962
103	0.1399228064
104	0.139759382
105	0.1395877948
106	0.1393644271
107	0.1391818373
108	0.1391359371
109	0.1388579407
110	0.1387245799
111	0.1385677868
112	0.1384258695
113	0.1380625418
114	0.1378604054
115	0.1378171561
116	0.1377354111
117	0.1377034611
118	0.1376687478
119	0.1375871383
120	0.1373960746
121	0.1373168836
122	0.1370349557
123	0.1367113203
124	0.1364246169
125	0.1362633957
126	0.1360393407
127	0.135904507
128	0.1356042389
129	0.1353380411
130	0.1351212963
131	0.1350227353
132	0.1348250485
133	0.1345854575
134	0.1343965905
135	0.1340656236
136	0.1339664102
137	0.1337121478
138	0.1336380031
139	0.1334018959
140	0.1331842313
141	0.1330156767
142	0.1329911832
143	0.1328491881
144	0.132825531
145	0.1326005674
146	0.1325412965
147	0.1322590207
148	0.1322365285
149	0.1321779622
150	0.1321480217
151	0.1320693562
152	0.1320407121
153	0.1320318221
154	0.1320052014
155	0.1319634977
156	0.131929639
157	0.1319207252
158	0.1318932109
159	0.1318548484
160	0.1317695348
161	0.1316928835
162	0.1314943387
163	0.1314519357
164	0.1312887298
165	0.1311309784
166	0.1309338224
167	0.130754093
168	0.1306033754
169	0.1303360992
170	0.1301442263
171	0.1300549407
172	0.129972228
173	0.1297972781
174	0.1297423341
175	0.1296098516
176	0.1293097745
177	0.1291634132
178	0.1289723851
179	0.1288124245
180	0.1286765003
181	0.1285671166
182	0.1283772434
183	0.1282667101
184	0.1281847679
185	0.1281121317
186	0.1280928485
187	0.1279215991
188	0.1277227795
189	0.1276556287
190	0.1275023406
191	0.1273566077
192	0.1271456569
193	0.1270469089
194	0.1268479632
195	0.1266756116
196	0.1265524933
197	0.1263307037
198	0.1262653006
199	0.1260851533
200	0.1259379072
201	0.1257875638
202	0.1256368486
203	0.1255180731
204	0.1253955673
205	0.1252576793
206	0.1252106301
207	0.1250667768
208	0.1249627711
209	0.1248355894
210	0.1247209041
211	0.1246042626
212	0.1244490304
213	0.1243853249
214	0.1242776998
215	0.1242082308
216	0.1240732498
217	0.1239754877
218	0.1238832585
219	0.1237485646
220	0.1236221467
221	0.1235355688
222	0.1234400075
223	0.1233640453
224	0.1232233719
225	0.1231098969
226	0.1230109083
227	0.1228958307
228	0.1227633763
229	0.1227087452
230	0.1225994293
231	0.1225619191
232	0.1225264476
233	0.1224003126
234	0.1222887943
235	0.1222368577
236	0.1222027834
237	0.1221138375
238	0.1221005571
239	0.1220174982
240	0.1218711852
241	0.1216937683
242	0.1216526515
243	0.1215029619
244	0.1214110094
245	0.121344184
246	0.1212210676
247	0.1211877714
248	0.1210991165
249	0.1210743118
250	0.1209600309
251	0.1208045077
252	0.1206884438
253	0.1205531364
254	0.1205358962
255	0.1205254452
256	0.1204191456
257	0.1202819061
258	0.1201762074
259	0.1200750835
260	0.1199739521
261	0.1198982045
262	0.1197582575
263	0.1197208246
264	0.1196284338
265	0.1196100669
266	0.1195389738
267	0.1194323343
268	0.1193502369
269	0.1192594704
270	0.1191360662
271	0.1190756209
272	0.119046692
273	0.1189760275
274	0.1188835517
275	0.118853647
276	0.1187501922
277	0.1187365749
278	0.1186942084
279	0.1185887945
280	0.1185186912
281	0.1184072148
282	0.1183439903
283	0.1182536436
284	0.1181464977
285	0.1181370974
286	0.1180279334
287	0.1178723024
288	0.1177892747
289	0.1177723764
290	0.1175962037
291	0.1175331247
292	0.1174242843
293	0.1173074256
294	0.1172056108
295	0.117093544
296	0.1170059672
297	0.1169550406
298	0.116840337
299	0.1167789017
300	0.1166763398
301	0.1165567944
302	0.1165412236
303	0.1165162691
304	0.1164099265
305	0.1162422764
306	0.1161118038
307	0.1160127129
308	0.1160033899
309	0.1158520882
310	0.1157948747
311	0.1156834084
312	0.1156736838
313	0.11558683
314	0.1155174302
315	0.1154334268
316	0.1154240015
317	0.1152972142
318	0.1152569558
319	0.1152477793
320	0.1151767958
321	0.1151657132
322	0.1151569431
323	0.115060072
324	0.1149424701
325	0.1148972303
326	0.1147783538
327	0.1147271613
328	0.1146470454
329	0.1146262559
330	0.1146051157
331	0.1145883638
332	0.1144725082
333	0.1144563515
334	0.1143528538
335	0.1142529995
336	0.1141471621
337	0.1140732865
338	0.1139721823
339	0.1139491497
340	0.1139352486
341	0.1137621306
342	0.1137151578
343	0.1137071117
344	0.1136718257
345	0.1136641055
346	0.1135273394
347	0.1134264739
348	0.1133935101
349	0.1133279893
350	0.1132487916
351	0.1131565306
352	0.1130738743
353	0.1130652144
354	0.1130366195
355	0.1129358105
356	0.1128356791
357	0.1128283963
358	0.1127685765
359	0.1126532317
360	0.1126450765
361	0.1126371835
362	0.1126220088
363	0.1126149803
364	0.1125513151
365	0.1124637896
366	0.112378977
367	0.1122729653
368	0.1121853008
369	0.1120616667
370	0.1119585381
371	0.1118889421
372	0.1118811051
373	0.1118057889
374	0.1117265437
375	0.1116667626
376	0.1116016688
377	0.1115438935
378	0.1115149268
379	0.1115070209
380	0.1114329984
381	0.1114223178
382	0.1113882937
383	0.1113818328
384	0.1113638361
385	0.1112401273
386	0.1112194762
387	0.1111664306
388	0.1111564288
389	0.1110156356
390	0.1109711053
391	0.1108475268
392	0.1107871685
393	0.110682167
394	0.1106175504
395	0.1105787675
396	0.1105062187
397	0.1103793523
398	0.1103156901
399	0.1103062002
400	0.1102014429
401	0.11017869
402	0.1100841608
403	0.1100266872
404	0.1100207067
405	0.1099545629
406	0.1099490057
407	0.1098882872
408	0.109825627
409	0.109757083
410	0.1097502421
411	0.1097436032
412	0.1097371111
413	0.1096298694
414	0.1095474916
415	0.109467876
416	0.1093875239
417	0.1093584662
418	0.1092955163
419	0.1092547697
420	0.1092494177
421	0.1092441871
422	0.1091867686
423	0.1090895152
424	0.1090336268
425	0.1089763241
426	0.1089645258
427	0.1089115995
428	0.1088734067
429	0.1088612854
430	0.1087917049
431	0.1086953704
432	0.1085830813
433	0.1085769866
434	0.1085344064
435	0.1085285479
436	0.1084648886
437	0.1083632418
438	0.108294714
439	0.1082369241
440	0.108232036
441	0.1081794206
442	0.1081740905
443	0.1081394959
444	0.1080750452
445	0.1080329294
446	0.1079938178
447	0.1078907361
448	0.1077691074
449	0.107763834
450	0.1077587108
451	0.1077499349
452	0.1077416354
453	0.107711653
454	0.1076554289
455	0.1076017176
456	0.1075283507
457	0.1074984931
458	0.1074802913
459	0.1074447536
460	0.1073481176
461	0.1072967026
462	0.1071697562
463	0.1071135647
464	0.1071089591
465	0.1070116093
466	0.1070071592
467	0.1070025945
468	0.1069985682
469	0.1069475746
470	0.1069006632
471	0.106846328
472	0.1067699614
473	0.1066795116
474	0.1066006529
475	0.1065216678
476	0.1065143736
477	0.1064867981
478	0.1064494819
479	0.1063649101
480	0.1063609706
481	0.1062584503
482	0.1062546187
483	0.1062226407
484	0.1061667529
485	0.1060656535
486	0.1060308017
487	0.1060268346
488	0.1060229112
489	0.1059537975
490	0.1059064746
491	0.1058991728
492	0.1058390025
493	0.1058357496
494	0.1057351614
495	0.1056648849
496	0.1056153932
497	0.1055715558
498	0.1055514179
499	0.1054831339
