iter	Passed	Remaining
0	34	32423
1	37	17605
2	40	12727
3	42	10047
4	44	8444
5	47	7435
6	49	6679
7	51	6092
8	53	5625
9	56	5302
10	58	5028
11	62	4852
12	65	4722
13	68	4573
14	71	4457
15	73	4317
16	76	4180
17	78	4074
18	80	3958
19	82	3858
20	85	3766
21	87	3684
22	89	3604
23	91	3532
24	93	3476
25	96	3421
26	98	3362
27	101	3335
28	103	3292
29	105	3247
30	107	3200
31	110	3169
32	112	3128
33	114	3097
34	117	3060
35	119	3027
36	121	2997
37	123	2965
38	125	2942
39	128	2927
40	130	2904
41	133	2876
42	135	2850
43	137	2825
44	139	2801
45	141	2787
46	144	2771
47	146	2748
48	148	2727
49	150	2706
50	152	2686
51	154	2667
52	156	2653
53	159	2643
54	161	2625
55	163	2609
56	165	2591
57	167	2575
58	169	2560
59	171	2545
60	174	2538
61	176	2527
62	178	2519
63	181	2507
64	183	2497
65	185	2486
66	187	2473
67	190	2465
68	192	2456
69	194	2443
70	196	2430
71	198	2418
72	200	2406
73	202	2396
74	208	2431
75	211	2433
76	214	2431
77	217	2429
78	220	2426
79	222	2419
80	225	2413
81	227	2410
82	230	2404
83	232	2400
84	235	2396
85	238	2391
86	240	2387
87	243	2381
88	245	2375
89	248	2372
90	250	2366
91	253	2366
92	256	2360
93	258	2356
94	261	2355
95	264	2350
96	266	2342
97	268	2337
98	271	2333
99	274	2330
100	277	2331
101	279	2326
102	282	2325
103	285	2320
104	288	2319
105	291	2317
106	293	2312
107	296	2310
108	299	2311
109	302	2307
110	305	2306
111	307	2299
112	310	2296
113	312	2292
114	315	2289
115	318	2287
116	321	2287
117	323	2284
118	326	2281
119	329	2275
120	331	2274
121	335	2276
122	338	2274
123	341	2274
124	344	2271
125	347	2273
126	350	2273
127	353	2270
128	356	2270
129	359	2265
130	362	2267
131	365	2265
132	368	2263
133	371	2260
134	373	2257
135	376	2255
136	379	2254
137	383	2255
138	385	2252
139	388	2247
140	391	2245
141	394	2243
142	398	2246
143	400	2243
144	403	2240
145	406	2238
146	408	2233
147	412	2232
148	414	2228
149	417	2224
150	420	2222
151	422	2217
152	426	2220
153	428	2216
154	431	2211
155	433	2207
156	435	2202
157	438	2197
158	441	2194
159	443	2190
160	446	2187
161	448	2182
162	451	2177
163	454	2175
164	456	2171
165	458	2167
166	461	2162
167	463	2157
